Name,2021 Finishing Position,2021 Finishing Position,2022 Finishing Position,2022 Finishing Position,2023 Finishing Position,2023 Finishing Position,Average Position
William Byron,9,20,1,30,32,1,15.50
Alex Bowman,3,4,10,32,14,26,14.83
Christopher Bell,21,8,23,19,3,23,16.17
Corey LaJoie,29,22,5,21,4,31,18.67
Bubba Wallace,16,14,13,14,27,25,18.17
A.J. Allmendinger,0,0,0,0,16,3,9.50
Erik Jones,24,24,14,4,8,11,14.17
Noah Gragson,0,0,37,34,12,33,29.00
Chase Briscoe,23,15,15,16,24,22,19.17
Kyle Larson,2,18,30,13,31,36,21.67
Kyle Busch,5,2,33,20,10,5,12.50
Chase Elliot,38,7,6,1,0,13,13.00
Martin Truex Jr,9,3,8,11,19,29,13.17
Ty Gibbs,0,0,0,0,9,34,21.50
Chris Buescher,7,16,7,33,35,15,18.83
Denny Hamlin,4,13,29,25,6,14,15.17
David Ragan,0,0,18,0,0,0,18.00
Ross Chastain,14,21,2,2,13,35,14.50
Austin Cindric,22,0,32,3,11,12,16.00
Ryan Preece,25,25,0,0,28,24,25.50
Josh Berry,0,0,0,0,18,0,18.00
Justin Haley,30,29,11,7,22,8,17.83
Anthoney Alfredo,27,26,0,0,0,0,26.50
Tyler Reddick,26,6,28,29,5,27,20.17
Ryan Blaney,1,5,17,5,7,9,7.33
Rickey Stenhouse Jr,12,37,31,31,17,10,23.00
Joey Logano,15,19,9,26,1,17,14.50
Brad Keselowski,28,10,12,18,2,6,12.67
Daniel Suarez,17,36,4,6,29,2,15.67
Todd Gilliand,0,0,27,17,15,16,18.75
Michael McDowell,19,27,24,15,21,4,18.33
Austin Dillon,6,12,35,35,20,21,21.50
Harrison Burton,0,0,25,10,34,28,24.25